Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil
Acácio Favacho;MDB;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;414;Brasília - DF - CEP 70160-900;3215-5414;3215-2414;09;28;dep.acaciofavacho@camara.leg.br;Acacio Favacho;Exmo. Senhor Deputado;ACÁCIO DA SILVA FAVACHO NETO
Adail Filho;REPUBLICANOS;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;531;Brasília - DF - CEP 70160-900;3215-5531;3215-2531;02;16;dep.adailfilho@camara.leg.br;Adail Filho;Exmo. Senhor Deputado;ADAIL JOSÉ FIGUEIREDO PINHEIRO
Adilson Barroso;PL;SP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;750;Brasília - DF - CEP 70160-900;3215-5750;3215-2750;06;14;dep.adilsonbarroso@camara.leg.br;Adilson Barroso;Exmo. Senhor Deputado;ADILSON BARROSO OLIVEIRA
Adolfo Viana;PSDB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;911;Brasília - DF - CEP 70160-900;3215-5911;3215-2911;02;02;dep.adolfoviana@camara.leg.br;Adolfo Viana;Exmo. Senhor Deputado;ADOLFO VIANA DE CASTRO NETO
Adriana Ventura;NOVO;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;802;Brasília - DF - CEP 70160-900;3215-5802;3215-2802;03;06;dep.adrianaventura@camara.leg.br;Adriana Ventura;Exma. Senhora Deputada;ADRIANA MIGUEL VENTURA
Adriano do Baldy;PP;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;419;Brasília - DF - CEP 70160-900;3215-5419;3215-2419;09;06;dep.adrianodobaldy@camara.leg.br;Adriano do Baldy;Exmo. Senhor Deputado;ADRIANO ANTÔNIO AVELAR
Aécio Neves;PSDB;MG;T;Câmara dos Deputados, Edifício Anexo;0;, gabinete nº;20;Brasília - DF - CEP 70160-900;3215-5964;3215-2964;03;10;dep.aecioneves@camara.leg.br;Aecio Neves;Exmo. Senhor Deputado;AÉCIO NEVES DA CUNHA
Afonso Hamm;PP;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;604;Brasília - DF - CEP 70160-900;3215-5604;3215-2604;04;25;dep.afonsohamm@camara.leg.br;Afonso Hamm;Exmo. Senhor Deputado;JOSÉ ALFONSO EBERT HAMM
Afonso Motta;PDT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;528;Brasília - DF - CEP 70160-900;3215-5528;3215-2528;01;08;dep.afonsomotta@camara.leg.br;Afonso Motta;Exmo. Senhor Deputado;AFONSO ANTUNES DA MOTTA
Aguinaldo Ribeiro;PP;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;735;Brasília - DF - CEP 70160-900;3215-5735;3215-2735;02;13;dep.aguinaldoribeiro@camara.leg.br;Aguinaldo Ribeiro;Exmo. Senhor Deputado;AGUINALDO VELLOSO BORGES RIBEIRO
Airton Faleiro;PT;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;327;Brasília - DF - CEP 70160-900;3215-5327;3215-2327;03;16;dep.airtonfaleiro@camara.leg.br;Airton Faleiro;Exmo. Senhor Deputado;AIRTON LUIZ FALEIRO
AJ Albuquerque;PP;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;708;Brasília - DF - CEP 70160-900;3215-5708;3215-2708;09;26;dep.ajalbuquerque@camara.leg.br;AJ Albuquerque;Exmo. Senhor Deputado;ANTONIO JOSE AGUIAR ALBUQUERQUE
Alberto Fraga;PL;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;816;Brasília - DF - CEP 70160-900;3215-5816;3215-2816;06;02;dep.albertofraga@camara.leg.br;Alberto Fraga;Exmo. Senhor Deputado;JOÃO ALBERTO FRAGA SILVA
Albuquerque;REPUBLICANOS;RR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;126;Brasília - DF - CEP 70160-900;3215-5126;3215-2126;01;25;dep.albuquerque@camara.leg.br;Albuquerque;Exmo. Senhor Deputado;JOSÉ FRANCISCO LOPES DE ALBUQUERQUE
Alceu Moreira;MDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;238;Brasília - DF - CEP 70160-900;3215-5238;3215-2238;06;04;dep.alceumoreira@camara.leg.br;Alceu Moreira;Exmo. Senhor Deputado;ALCEU MOREIRA DA SILVA
Alencar Santana;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;256;Brasília - DF - CEP 70160-900;3215-5256;3215-2256;03;14;dep.alencarsantana@camara.leg.br;Alencar Santana;Exmo. Senhor Deputado;ALENCAR SANTANA BRAGA
Alex Manente;CIDADANIA;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;205;Brasília - DF - CEP 70160-900;3215-5205;3215-2205;08;22;dep.alexmanente@camara.leg.br;Alex Manente;Exmo. Senhor Deputado;ALEX SPINELLI MANENTE
Alex Santana;REPUBLICANOS;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;541;Brasília - DF - CEP 70160-900;3215-5541;3215-2541;06;22;dep.alexsantana@camara.leg.br;Alex Santana;Exmo. Senhor Deputado;ALEX MARCO SANTANA SOUSA
Alexandre Guimarães;MDB;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;941;Brasília - DF - CEP 70160-900;3215-5941;3215-2941;02;19;dep.alexandreguimaraes@camara.leg.br;Alexandre Guimaraes;Exmo. Senhor Deputado;JOSÉ ALEXANDRE DOMINGUES GUIMARÃES
Alexandre Leite;UNIÃO;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;841;Brasília - DF - CEP 70160-900;3215-5841;3215-2841;04;18;dep.alexandreleite@camara.leg.br;Alexandre Leite;Exmo. Senhor Deputado;ALEXANDRE LEITE DA SILVA
Alexandre Lindenmeyer;PT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;452;Brasília - DF - CEP 70160-900;3215-5452;3215-2452;12;23;dep.alexandrelindenmeyer@camara.leg.br;Alexandre Lindenmeyer;Exmo. Senhor Deputado;ALEXANDRE DUARTE LINDENMEYER
Alfredinho;PT;SP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;956;Brasília - DF - CEP 70160-900;3215-5956;3215-2956;06;24;dep.alfredinho@camara.leg.br;Alfredinho;Exmo. Senhor Deputado;ALFREDO ALVES CAVALCANTE
Alfredo Gaspar;UNIÃO;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;543;Brasília - DF - CEP 70160-900;3215-5543;3215-2543;08;13;dep.alfredogaspar@camara.leg.br;Alfredo Gaspar;Exmo. Senhor Deputado;ALFREDO GASPAR DE MENDONÇA NETO
Alice Portugal;PCdoB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;420;Brasília - DF - CEP 70160-900;3215-5420;3215-2420;05;16;dep.aliceportugal@camara.leg.br;Alice Portugal;Exma. Senhora Deputada;ALICE MAZZUCO PORTUGAL
Aliel Machado;PV;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;220;Brasília - DF - CEP 70160-900;3215-5220;3215-2220;02;26;dep.alielmachado@camara.leg.br;Aliel Machado;Exmo. Senhor Deputado;ALIEL MACHADO BARK
Allan Garcês;PP;MA;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;558;Brasília - DF - CEP 70160-900;3215-5558;3215-2558;08;30;dep.allangarces@camara.leg.br;Allan Garces;Exmo. Senhor Deputado;ALLAN QUADROS GARCÊS
Altineu Côrtes;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;336;Brasília - DF - CEP 70160-900;3215-5336;3215-2336;09;13;dep.altineucortes@camara.leg.br;Altineu Cortes;Exmo. Senhor Deputado;ALTINEU CÔRTES FREITAS COUTINHO
Aluisio Mendes;REPUBLICANOS;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;931;Brasília - DF - CEP 70160-900;3215-5931;3215-2931;11;11;dep.aluisiomendes@camara.leg.br;Aluisio Mendes;Exmo. Senhor Deputado;ALUISIO GUIMARAES MENDES FILHO
