"ano";"tipo_de_emenda";"autor_da_emenda";"numero_da_emenda";"localidade_do_gasto_regionalizacao";"funcao";"subfuncao";"programa_orcamentario";"acao_orcamentaria";"plano_orcamentario";"codigo_da_emenda";"valor_empenhado";"valor_liquidado";"valor_pago";"valor_restos_a_pagar_inscritos";"valor_restos_a_pagar_cancelados";"valor_restos_a_pagar_pagos";"x18";"autor_sanitized";"match_parlamentar";"nome_civil";"partido";"tipo"
2024;"Emenda Individual - Transferências com Finalidade Definida";"WELLINGTON ROBERTO";"0013";"JOÃO PESSOA - PB";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";202412770013;5138;0;0;NA;0;0;NA;"WELLINGTON ROBERTO";"WELLINGTON ROBERTO";"JOSÉ WELLINGTON ROBERTO";"PL";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"HELDER SALOMAO";"0014";"Nacional";"Organização agrária";"Reforma agrária";"5136 - GOVERNANCA FUNDIARIA, REFORMA AGRARIA E REGULARIZACAO DE TERRITORIOS QUILOMBOLAS E DE POVOS E COMUNIDADES TRADICIONAIS";"210Z - IDENTIFICACAO, RECONHECIMENTO E TITULACAO DE TERRITORIOS QUILOMBOLAS";"IDENTIFICACAO, RECONHECIMENTO E TITULACAO DE TERRITORIOS QUILOMBOLAS - DESPESAS DIVERSAS";202433120014;6520;4486,03;4486,03;NA;0;0;NA;"HELDER SALOMAO";"HELDER SALOMAO";"HELDER IGNACIO SALOMAO";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LUISA CANZIANI";"0007";"LONDRINA - PR";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";202440340007;10000;10000;10000;NA;0;0;NA;"LUISA CANZIANI";"LUISA CANZIANI";"LUISA CANZIANI DOS SANTOS SILVEIRA";"PSD";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"DR. FREDERICO";"0007";"MINAS GERAIS (UF)";"Urbanismo";"infra-estrutura urbana";"2319 - MOBILIDADE URBANA";"00T1 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA";"APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA - DESPESAS DIVERSAS";202439600007;15795;0;0;NA;0;0;NA;"FREDERICO";"FREDERICO";"FREDERICO DE CASTRO ESCALEIRA";"PRD";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"RICARDO BARROS";"0004";"Nacional";"Cultura";"Patrimônio histórico, artístico e arqueológico";"5125 - DIREITO A CULTURA";"20ZH - PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO";"PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO - DESPESAS DIVERSAS";202433320004;23200;734,18;734,18;NA;0;0;NA;"RICARDO BARROS";"RICARDO AYRES";"RICARDO AYRES DE CARVALHO";"REPUBLICANOS";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"HUMBERTO COSTA";"0020";"PERNAMBUCO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";202428850020;24414;0;0;NA;0;0;NA;"HUMBERTO COSTA";"HUMBERTO COSTA";NA;"PT";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"PROFESSORA GORETH";"0006";"AMAPÁ (UF)";"Direitos da cidadania";"Normatização e fiscalização";"1617 - DEMARCACAO E GESTAO DOS TERRITORIOS INDIGENAS PARA O BEM VIVER, A SUSTENTABILIDADE E O ENFRENTAMENTO DA EMERGENCIA CLIMATICA";"20UF - REGULARIZACAO FUNDIARIA, PROTECAO E GESTAO DOS TERRITORIOS INDIGENAS";"REGULARIZACAO FUNDIARIA, PROTECAO E GESTAO DOS TERRITORIOS INDIGENAS - DESPESAS DIVERSAS";202444500006;35538,88;0;0;NA;0;0;NA;"GORETH";"GORETH";"MARIA GORETH DA SILVA E SOUSA";"PDT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JOSE GUIMARAES";"0005";"CEARÁ (UF)";"Gestão ambiental";"Controle ambiental";"6114 - PROTECAO E RECUPERACAO DA BIODIVERSIDADE E COMBATE AO DESMATAMENTO E INCENDIOS";"214M - PREVENCAO E CONTROLE DE INCENDIOS FLORESTAIS NAS AREAS FEDERAIS PRIORITARIAS";"PREVENCAO E CONTROLE DE INCENDIOS FLORESTAIS NAS AREAS FEDERAIS PRIORITARIAS - DESPESAS DIVERSAS";202424420005;45000;45000;45000;NA;0;0;NA;"JOSE GUIMARAES";"JOSE GUIMARAES";"JOSÉ NOBRE GUIMARÃES";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"ANDRE JANONES";"0005";"Nacional";"Direitos da cidadania";"Assistência aos povos indígenas";"5838 - DIREITOS PLURIETNICOS CULTURAIS E SOCIAIS PARA O PLENO EXERCICIO DA CIDADANIA E O BEM VIVER DOS POVOS INDIGENAS";"21FL - GESTAO DE POLITICAS PARA POVOS INDIGENAS";"GESTAO DE POLITICAS PARA POVOS INDIGENAS - DESPESAS DIVERSAS";202439140005;49795;0;0;NA;0;0;NA;"ANDRE JANONES";"ANDRE JANONES";"ANDRE LUIS GASPAR JANONES";"AVANTE";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"VITOR LIPPI";"0008";"SÃO PAULO (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";202437770008;50000;3078;3078;NA;0;0;NA;"VITOR LIPPI";"VITOR LIPPI";"VITOR LIPPI";"PSDB";"deputado"
