"nome";"nome_sanitizado";"partido";"uf";"tipo";"espectro"
"Acácio Favacho";"ACACIO FAVACHO";"MDB";"AP";"deputado";"centro"
"Adail Filho";"ADAIL FILHO";"REPUBLICANOS";"AM";"deputado";NA
"Adilson Barroso";"ADILSON BARROSO";"PL";"SP";"deputado";"direita"
"Adolfo Viana";"ADOLFO VIANA";"PSDB";"BA";"deputado";"centro"
"Adriana Ventura";"ADRIANA VENTURA";"NOVO";"SP";"deputado";"direita"
"Adriano Do Baldy";"ADRIANO BALDY";"PP";"GO";"deputado";"centro-direita"
"Aécio Neves";"AECIO NEVES";"PSDB";"MG";"deputado";"centro"
"Afonso Hamm";"AFONSO HAMM";"PP";"RS";"deputado";"centro-direita"
"Afonso Motta";"AFONSO MOTTA";"PDT";"RS";"deputado";"centro-esquerda"
"Aguinaldo Ribeiro";"AGUINALDO RIBEIRO";"PP";"PB";"deputado";"centro-direita"
"Airton Faleiro";"AIRTON FALEIRO";"PT";"PA";"deputado";"esquerda"
"Aj Albuquerque";"AJ ALBUQUERQUE";"PP";"CE";"deputado";"centro-direita"
"Alberto Fraga";"ALBERTO FRAGA";"PL";"DF";"deputado";"direita"
"Albuquerque";"ALBUQUERQUE";"REPUBLICANOS";"RR";"deputado";NA
"Alceu Moreira";"ALCEU MOREIRA";"MDB";"RS";"deputado";"centro"
"Alencar Santana";"ALENCAR SANTANA";"PT";"SP";"deputado";"esquerda"
"Alex Manente";"ALEX MANENTE";"CIDADANIA";"SP";"deputado";NA
"Alex Santana";"ALEX SANTANA";"REPUBLICANOS";"BA";"deputado";NA
"Alexandre Guimarães";"ALEXANDRE GUIMARAES";"MDB";"TO";"deputado";"centro"
"Alexandre Leite";"ALEXANDRE LEITE";"UNIÃO";"SP";"deputado";NA
"Alexandre Lindenmeyer";"ALEXANDRE LINDENMEYER";"PT";"RS";"deputado";"esquerda"
"Alfredinho";"ALFREDINHO";"PT";"SP";"deputado";"esquerda"
"Alfredo Gaspar";"ALFREDO GASPAR";"UNIÃO";"AL";"deputado";NA
"Alice Portugal";"ALICE PORTUGAL";"PCdoB";"BA";"deputado";"esquerda"
"Aliel Machado";"ALIEL MACHADO";"PV";"PR";"deputado";"centro-esquerda"
"Allan Garcês";"ALLAN GARCES";"PP";"MA";"deputado";"centro-direita"
"Altineu Côrtes";"ALTINEU CORTES";"PL";"RJ";"deputado";"direita"
"Aluisio Mendes";"ALUISIO MENDES";"REPUBLICANOS";"MA";"deputado";NA
"Amanda Gentil";"AMANDA GENTIL";"PP";"MA";"deputado";"centro-direita"
"Amaro Neto";"AMARO NETO";"REPUBLICANOS";"ES";"deputado";NA
"Amom Mandel";"AMOM MANDEL";"CIDADANIA";"AM";"deputado";NA
"Ana Paula Leão";"ANA PAULA LEAO";"PP";"MG";"deputado";"centro-direita"
"Ana Paula Lima";"ANA PAULA LIMA";"PT";"SC";"deputado";"esquerda"
"Ana Pimentel";"ANA PIMENTEL";"PT";"MG";"deputado";"esquerda"
"André Fernandes";"ANDRE FERNANDES";"PL";"CE";"deputado";"direita"
"André Ferreira";"ANDRE FERREIRA";"PL";"PE";"deputado";"direita"
"André Figueiredo";"ANDRE FIGUEIREDO";"PDT";"CE";"deputado";"centro-esquerda"
"André Janones";"ANDRE JANONES";"AVANTE";"MG";"deputado";NA
"Andreia Siqueira";"ANDREIA SIQUEIRA";"MDB";"PA";"deputado";"centro"
"Antônia Lúcia";"ANTONIA LUCIA";"REPUBLICANOS";"AC";"deputado";NA
"Antonio Andrade";"ANTONIO ANDRADE";"REPUBLICANOS";"TO";"deputado";NA
"Antonio Brito";"ANTONIO BRITO";"PSD";"BA";"deputado";"centro"
"Antonio Carlos Rodrigues";"ANTONIO CARLOS RODRIGUES";"PL";"SP";"deputado";"direita"
"Antônio Doido";"ANTONIO DOIDO";"MDB";"PA";"deputado";"centro"
"Any Ortiz";"ANY ORTIZ";"CIDADANIA";"RS";"deputado";NA
"Arlindo Chinaglia";"ARLINDO CHINAGLIA";"PT";"SP";"deputado";"esquerda"
"Arnaldo Jardim";"ARNALDO JARDIM";"CIDADANIA";"SP";"deputado";NA
"Arthur Lira";"ARTHUR LIRA";"PP";"AL";"deputado";"centro-direita"
"Arthur Oliveira Maia";"ARTHUR OLIVEIRA MAIA";"UNIÃO";"BA";"deputado";NA
"Átila Lins";"ATILA LINS";"PSD";"AM";"deputado";"centro"
"Átila Lira";"ATILA LIRA";"PP";"PI";"deputado";"centro-direita"
"Augusto Coutinho";"AUGUSTO COUTINHO";"REPUBLICANOS";"PE";"deputado";NA
"Augusto Puppio";"AUGUSTO PUPPIO";"MDB";"AP";"deputado";"centro"
"Aureo Ribeiro";"AUREO RIBEIRO";"SOLIDARIEDADE";"RJ";"deputado";NA
"Bacelar";"BACELAR";"PV";"BA";"deputado";"centro-esquerda"
"Baleia Rossi";"BALEIA ROSSI";"MDB";"SP";"deputado";"centro"
"Bandeira De Mello";"BANDEIRA MELLO";"PSB";"RJ";"deputado";"centro-esquerda"
"Bebeto";"BEBETO";"PP";"RJ";"deputado";"centro-direita"
"Benedita Da Silva";"BENEDITA SILVA";"PT";"RJ";"deputado";"esquerda"
"Benes Leocádio";"BENES LEOCADIO";"UNIÃO";"RN";"deputado";NA
"Beto Pereira";"BETO PEREIRA";"PSDB";"MS";"deputado";"centro"
"Beto Richa";"BETO RICHA";"PSDB";"PR";"deputado";"centro"
"Bia Kicis";"BIA KICIS";"PL";"DF";"deputado";"direita"
"Bibo Nunes";"BIBO NUNES";"PL";"RS";"deputado";"direita"
"Bohn Gass";"BOHN GASS";"PT";"RS";"deputado";"esquerda"
"Bruno Farias";"BRUNO FARIAS";"AVANTE";"MG";"deputado";NA
"Bruno Ganem";"BRUNO GANEM";"PODE";"SP";"deputado";"não classificado"
"Cabo Gilberto Silva";"CABO GILBERTO SILVA";"PL";"PB";"deputado";"direita"
"Camila Jara";"CAMILA JARA";"PT";"MS";"deputado";"esquerda"
"Capitão Alberto Neto";"ALBERTO NETO";"PL";"AM";"deputado";"direita"
"Capitão Alden";"ALDEN";"PL";"BA";"deputado";"direita"
"Capitão Augusto";"AUGUSTO";"PL";"SP";"deputado";"direita"
"Carla Dickson";"CARLA DICKSON";"UNIÃO";"RN";"deputado";NA
"Carla Zambelli";"CARLA ZAMBELLI";"PL";"SP";"deputado";"direita"
"Carlos Chiodini";"CARLOS CHIODINI";"MDB";"SC";"deputado";"centro"
"Carlos Henrique Gaguim";"CARLOS HENRIQUE GAGUIM";"UNIÃO";"TO";"deputado";NA
"Carlos Jordy";"CARLOS JORDY";"PL";"RJ";"deputado";"direita"
"Carlos Sampaio";"CARLOS SAMPAIO";"PSD";"SP";"deputado";"centro"
"Carlos Veras";"CARLOS VERAS";"PT";"PE";"deputado";"esquerda"
"Carlos Zarattini";"CARLOS ZARATTINI";"PT";"SP";"deputado";"esquerda"
"Carol Dartora";"CAROL DARTORA";"PT";"PR";"deputado";"esquerda"
"Caroline De Toni";"CAROLINE TONI";"PL";"SC";"deputado";"direita"
"Castro Neto";"CASTRO NETO";"PSD";"PI";"deputado";"centro"
"Célia Xakriabá";"CELIA XAKRIABA";"PSOL";"MG";"deputado";"esquerda"
"Célio Silveira";"CELIO SILVEIRA";"MDB";"GO";"deputado";"centro"
"Célio Studart";"CELIO STUDART";"PSD";"CE";"deputado";"centro"
"Celso Russomanno";"CELSO RUSSOMANNO";"REPUBLICANOS";"SP";"deputado";NA
"Cezinha De Madureira";"CEZINHA MADUREIRA";"PSD";"SP";"deputado";"centro"
"Charles Fernandes";"CHARLES FERNANDES";"PSD";"BA";"deputado";"centro"
"Chico Alencar";"CHICO ALENCAR";"PSOL";"RJ";"deputado";"esquerda"
"Chiquinho Brazão";"CHIQUINHO BRAZAO";"S.PART.";"RJ";"deputado";NA
"Chris Tonietto";"CHRIS TONIETTO";"PL";"RJ";"deputado";"direita"
"Clarissa Tércio";"CLARISSA TERCIO";"PP";"PE";"deputado";"centro-direita"
