"UF";"Nome";"Partido"
"AC";"CORONEL ULYSSES";"UNIÃO"
"AC";"DR EDUARDO VELLOSO";"UNIÃO"
"AC";"GERLEN DINIZ";"PP"
"AC";"MEIRE SERAFIM";"UNIÃO"
"AC";"ROBERTO DUARTE";"REPUBLICANOS"
"AC";"SOCORRO NERI";"PP"
"AC";"ZEZINHO BARBARY";"PP"
"AL";"ALFREDO GASPAR";"UNIÃO"
"AL";"ARTHUR LIRA";"PP"
"AL";"DANIEL BARBOSA";"PP"
"AL";"DELEGADO FABIO COSTA";"PP"
"AL";"ISNALDO BULHÕES JR";"MDB"
"AL";"LUCIANO AMARAL";"PV"
"AL";"MARX BELTRÃO";"PP"
"AL";"PAULÃO";"PT"
"AL";"RAFAEL BRITO (TIO RAFA)";"MDB"
"AM";"ÁTILA LINS";"PSD"
"AM";"CAPITÃO ALBERTO NETO";"PL"
"AM";"SIDNEY LEITE";"PSD"
"AM";"SILAS CÂMARA";"REPUBLICANOS"
"AM";"ADAIL FILHO";"REPUBLICANOS"
"AM";"AMOM MANDEL";"CIDADANIA"
"AM";"FAUSTO SANTOS JR";"UNIÃO"
"AM";"SAULLO VIANNA";"UNIÃO"
"AP";"ACÁCIO FAVACHO";"MDB"
"AP";"DORINALDO MALAFAIA";"PDT"
"AP";"DR. PUPIO";"MDB"
"AP";"JOSENILDO";"PDT"
"AP";"PROFESSORA GORETH";"PDT"
"AP";"SILVIA WAIÃPI";"PL"
"AP";"SONIZE BARBOSA";"PL"
"AP";"VINICIUS GURGEL";"PL"
"BA";"ADOLFO VIANA";"PSDB"
"BA";"AFONSO FLORENCE";"PT"
"BA";"ALEX SANTANA";"REPUBLICANOS"
"BA";"ALICE PORTUGAL";"PCdoB"
"BA";"ANTONIO BRITO";"PSD"
"BA";"ARTHUR MAIA";"UNIÃO"
"BA";"BACELAR";"PV"
"BA";"CAPITÃO ALDEN";"PL"
"BA";"CLAUDIO CAJADO";"PP"
"BA";"DANIEL";"PCdoB"
"BA";"DEPUTADO DAL";"UNIÃO"
"BA";"DIEGO CORONEL";"PSD"
"BA";"ELMAR NASCIMENTO";"UNIÃO"
"BA";"FELIX MENDONÇA";"PDT"
"BA";"GABRIEL NUNES";"PSD"
"BA";"IVONEIDE CAETANO";"PT"
"BA";"JOÃO CARLOS BACELAR";"PL"
"BA";"JOÃO LEÃO";"PP"
"BA";"JORGE SOLLA";"PT"
"BA";"JOSÉ ROCHA";"UNIÃO"
"BA";"JOSEILDO RAMOS";"PT"
"BA";"LÉO PRATES";"PDT"
"BA";"LEUR LOMANTO JR";"UNIÃO"
"BA";"LÍDICE DA MATA";"PSB"
"BA";"MARCIO MARINHO";"REPUBLICANOS"
"BA";"MÁRIO NEGROMONTE JR";"PP"
"BA";"NETO CARLETTO";"PP"
"BA";"OTTO FILHO";"PSD"
"BA";"PASTOR SARGENTO ISIDÓRIO";"AVANTE"
"BA";"PAULO AZI";"UNIÃO"
"BA";"PAULO MAGALHÃES";"PSD"
"BA";"RAIMUNDO COSTA";"PODE"
"BA";"RICARDO MAIA";"MDB"
"BA";"ROBERTA ROMA";"PL"
"BA";"ROGERIA SANTOS";"REPUBLICANOS"
"BA";"SÉRGIO BRITO";"PSD"
"BA";"VALMIR ASSUNÇÃO";"PT"
"BA";"WALDENOR PEREIRA";"PT"
"BA";"ZÉ NETO";"PT"
"CE";"AJ ALBUQUERQUE";"PP"
"CE";"ANDRÉ FERNANDES";"PL"
"CE";"ANDRÉ FIGUEIREDO";"PDT"
"CE";"CÉLIO STUDART";"PSD"
"CE";"DANILO FORTE";"UNIÃO"
"CE";"DAYANY DO CAPITÃO";"UNIÃO"
"CE";"DOMINGOS NETO";"PSD"
"CE";"DR JAZIEL";"PL"
"CE";"EDUARDO BISMARCK";"PDT"
"CE";"EUNÍCIO";"MDB"
"CE";"FERNANDA PESSOA";"UNIÃO"
"CE";"GUIMARÃES DO PT";"PT"
"CE";"IDILVAN";"PDT"
"CE";"JOSE AIRTON";"PT"
"CE";"JÚNIOR MANO";"PL"
"CE";"LUIZ GASTÃO";"PSD"
"CE";"LUIZIANNE LINS";"PT"
"CE";"MATHEUS NORONHA";"PL"
"CE";"MAURO FILHO";"PDT"
"CE";"MOSES RODRIGUES";"UNIÃO"
"CE";"ROBÉRIO MONTEIRO";"PDT"
